1606: T4_RUNE                                                          : Adept's Rune
1607: T4_SOUL                                                          : Adept's Soul
1608: T4_RELIC                                                         : Adept's Relic
1609: T4_SHARD_AVALONIAN                                               : Adept's Avalonian Shard
1611: T5_ESSENCE                                                       : Expert's Faded Essence
1612: T5_RUNE                                                          : Expert's Rune
1613: T5_SOUL                                                          : Expert's Soul
1614: T5_RELIC                                                         : Expert's Relic
1615: T5_SHARD_AVALONIAN                                               : Expert's Avalonian Shard
1617: T6_ESSENCE                                                       : Master's Faded Essence
1618: T6_RUNE                                                          : Master's Rune
1619: T6_SOUL                                                          : Master's Soul
1620: T6_RELIC                                                         : Master's Relic
1621: T6_SHARD_AVALONIAN                                               : Master's Avalonian Shard
1623: T7_ESSENCE                                                       : Grandmaster's Faded Essence
1624: T7_RUNE                                                          : Grandmaster's Rune
1625: T7_SOUL                                                          : Grandmaster's Soul
1626: T7_RELIC                                                         : Grandmaster's Relic
1627: T7_SHARD_AVALONIAN                                               : Grandmaster's Avalonian Shard
1629: T8_ESSENCE                                                       : Elder's Faded Essence
1630: T8_RUNE                                                          : Elder's Rune
1631: T8_SOUL                                                          : Elder's Soul
1632: T8_RELIC                                                         : Elder's Relic
1633: T8_SHARD_AVALONIAN                                               : Elder's Avalonian Shard
1642: T1_OFF_SHIELD                                                    : Beginner's Shield
1643: T2_OFF_SHIELD                                                    : Novice's Shield
1644: T3_OFF_SHIELD                                                    : Journeyman's Shield
1645: T4_OFF_SHIELD                                                    : Adept's Shield
1646: T4_OFF_SHIELD@1                                                  : Adept's Shield
1647: T4_OFF_SHIELD@2                                                  : Adept's Shield
1648: T4_OFF_SHIELD@3                                                  : Adept's Shield
1649: T4_OFF_SHIELD@4                                                  : Adept's Shield
1650: T5_OFF_SHIELD                                                    : Expert's Shield
1651: T5_OFF_SHIELD@1                                                  : Expert's Shield
1652: T5_OFF_SHIELD@2                                                  : Expert's Shield
1653: T5_OFF_SHIELD@3                                                  : Expert's Shield
1654: T5_OFF_SHIELD@4                                                  : Expert's Shield
1655: T6_OFF_SHIELD                                                    : Master's Shield
1656: T6_OFF_SHIELD@1                                                  : Master's Shield
1657: T6_OFF_SHIELD@2                                                  : Master's Shield
1658: T6_OFF_SHIELD@3                                                  : Master's Shield
1659: T6_OFF_SHIELD@4                                                  : Master's Shield
1660: T7_OFF_SHIELD                                                    : Grandmaster's Shield
1661: T7_OFF_SHIELD@1                                                  : Grandmaster's Shield
1662: T7_OFF_SHIELD@2                                                  : Grandmaster's Shield
1663: T7_OFF_SHIELD@3                                                  : Grandmaster's Shield
1664: T7_OFF_SHIELD@4                                                  : Grandmaster's Shield
1665: T8_OFF_SHIELD                                                    : Elder's Shield
1666: T8_OFF_SHIELD@1                                                  : Elder's Shield
1667: T8_OFF_SHIELD@2                                                  : Elder's Shield
